paper_spec,model,paper,workflow_state,final_CG,final_REA,source_resolution,relative_dot_path,sha256,bytes,nodes,edges,root,dot_parseable,strict_structure_ok
claude_sonnet_4_5_20250929:s41467-025-56413-9,claude_sonnet_4_5_20250929,s41467-025-56413-9,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56413-9.dot,ba3ec7b49366ffa98b92de821f576f9b040109686bb1b707e727cd135d58e134,5768,22,21,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56522-5,claude_sonnet_4_5_20250929,s41467-025-56522-5,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56522-5.dot,7e375dd93527f9d0865c22aeace7615f4c2f648335d5151ddbd7cc1654d45dd3,9503,39,53,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56609-z,claude_sonnet_4_5_20250929,s41467-025-56609-z,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56609-z.dot,43975c69d06784765cfc08fb0b0503e58e0ea901908546bb7d5912dd00b39dd3,2464,8,7,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56611-5,claude_sonnet_4_5_20250929,s41467-025-56611-5,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56611-5.dot,a8f113dca066ddc7f3abcf61609bb997e1a419040e1ec436ab96c0dc9a72c14d,8632,33,32,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56616-0,claude_sonnet_4_5_20250929,s41467-025-56616-0,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56616-0.dot,4e219cba144b893ba17a9afdfb3a69e35e1e555ac36d7e5ca29e1b9e9ba5cdea,6079,30,31,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56618-y,claude_sonnet_4_5_20250929,s41467-025-56618-y,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56618-y.dot,df9573a295fcca25bff9367c2b82fccd890b518cfaef8f709f6100ecb7eccb1d,3026,13,13,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56622-2,claude_sonnet_4_5_20250929,s41467-025-56622-2,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56622-2.dot,a912a70fd03557b2da7d566c5c372c93162d43501ed369b87a3cf18d1aa1aa29,9631,41,42,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56635-x,claude_sonnet_4_5_20250929,s41467-025-56635-x,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56635-x.dot,039a2a153a9e8453728e2fdf3dd5b92e78081b7b8a3a63651981d3ef880b5392,5519,24,23,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56641-z,claude_sonnet_4_5_20250929,s41467-025-56641-z,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56641-z.dot,c389a2a90c29216aa3a361bf57a29f2c1f80c332400231af828d575daae11b32,8317,35,34,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56657-5,claude_sonnet_4_5_20250929,s41467-025-56657-5,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56657-5.dot,7fd48b60a1c62189cbb2b4046137f1ffc1844fd127b838c6bd8a2e194a312b67,1867,8,7,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56667-3,claude_sonnet_4_5_20250929,s41467-025-56667-3,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56667-3.dot,1e82629c0697a35690f42f6176578c13bb18f6e0e7733ff441c0298168d20e5c,7894,27,28,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56697-x,claude_sonnet_4_5_20250929,s41467-025-56697-x,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56697-x.dot,2f04e42ff1bec35cc9139ab4821603e5465e5dd56bd0ba94a7a7ea0af9af240b,5465,22,23,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56698-w,claude_sonnet_4_5_20250929,s41467-025-56698-w,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56698-w.dot,0c9634f8940093237b14e24f1e9729b05f9f4bfbc427422811328786210fece7,11245,36,37,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56722-z,claude_sonnet_4_5_20250929,s41467-025-56722-z,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56722-z.dot,7face1e70a0c2e1f16284ddee6ee1a9a818ddc179e64dc26da304fd2b115f725,7485,24,25,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56724-x,claude_sonnet_4_5_20250929,s41467-025-56724-x,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56724-x.dot,48d7071363be102ecf3c470e4c79a29caa3dd7f42266816eec89cae9eb32b0ae,13338,44,57,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56729-6,claude_sonnet_4_5_20250929,s41467-025-56729-6,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56729-6.dot,9166043f84dc38d7e65bb6c29ff3cd149717b16c867e6a631fc91ba43312e09a,8440,31,33,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56732-x,claude_sonnet_4_5_20250929,s41467-025-56732-x,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56732-x.dot,5c808033a80752eefcfa42b478c65848227bac82e545d6e8281168ec9381bcc6,2940,11,10,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56734-9,claude_sonnet_4_5_20250929,s41467-025-56734-9,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56734-9.dot,015351fbefc28f5144a96f07f35e2e4d1013fa22c89b0876f61dd2bedf8e6af7,7212,34,33,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56738-5,claude_sonnet_4_5_20250929,s41467-025-56738-5,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56738-5.dot,a27fd8baf73377823a8d437d343af7c218d342328d82db53953b946a5408956d,4006,22,21,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56739-4,claude_sonnet_4_5_20250929,s41467-025-56739-4,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56739-4.dot,fa55d505397e97fbfe232a1b3e750b20ebc90d2099b6df5e3a13eb9dc342161e,2890,13,12,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56751-8,claude_sonnet_4_5_20250929,s41467-025-56751-8,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56751-8.dot,a3ffd0f9fed02a7bcd2e61afb366aedd4f8ded849238a0c3de55c0c6327b67fc,7988,33,32,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56757-2,claude_sonnet_4_5_20250929,s41467-025-56757-2,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56757-2.dot,abab6781d8d445f6aa4de204d0bb7bc100fb3e6324e43b5a3b3e8537a23a206f,6475,22,23,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56761-6,claude_sonnet_4_5_20250929,s41467-025-56761-6,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56761-6.dot,83cf9618505fc9dac8275a79fbf32bdfc02fc24bfd393537431099d2a05c2f4f,5922,22,21,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56764-3,claude_sonnet_4_5_20250929,s41467-025-56764-3,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56764-3.dot,2d1222e52e4b9796be418329ac32f32752a68455ffb0b962c2e7eebddb248bd5,6568,26,30,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56765-2,claude_sonnet_4_5_20250929,s41467-025-56765-2,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56765-2.dot,d5dd9da9e8f49d38ee8f06f641578b3192b61eda1c5b6cf53d627d7a684d2170,3625,15,16,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56769-y,claude_sonnet_4_5_20250929,s41467-025-56769-y,current_version,1.0,1.0,direct,dot/claude_sonnet_4_5_20250929/s41467-025-56769-y.dot,6fc78e6900dc9bdf1aa530267a640b16970cd8dd71d1330ac2b6e99f40168947,2061,13,12,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56776-z,claude_sonnet_4_5_20250929,s41467-025-56776-z,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56776-z.dot,c737ea4e75def369815322406a1a89bf149d9e9691d86e64e12d609805d4b20a,8690,29,36,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56786-x,claude_sonnet_4_5_20250929,s41467-025-56786-x,current_version,1.0,1.0,direct,dot/claude_sonnet_4_5_20250929/s41467-025-56786-x.dot,87db8683b44cb9523b2d6fd3ed280c9b4211479ed70fbe40cb639ff6a8bab710,5230,19,18,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56787-w,claude_sonnet_4_5_20250929,s41467-025-56787-w,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56787-w.dot,e110f45982b6e2544baf5ec82b50e0a9f08b951507ba73af8f69fe79221eb618,7925,34,38,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56795-w,claude_sonnet_4_5_20250929,s41467-025-56795-w,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56795-w.dot,dcb923139b0f37c8854c1e78c8cb6dd75dcc7ae7caebf24e66e4b658d43721d5,4766,19,18,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56797-8,claude_sonnet_4_5_20250929,s41467-025-56797-8,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56797-8.dot,8c417d8c4ae2227f1052b82adfa1ce7d0d38dbfe0907e19b0cebb9148018bfc5,7561,35,36,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56798-7,claude_sonnet_4_5_20250929,s41467-025-56798-7,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56798-7.dot,4d452f76e4c0faab5645d028e6196b3aca51ee880606863bdde97a3190f30011,5494,25,25,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56799-6,claude_sonnet_4_5_20250929,s41467-025-56799-6,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56799-6.dot,d5077417f0aa413ddec849d25d8c190f302009f9617cf9c03dba2e398e9c2cf7,4934,22,22,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56814-w,claude_sonnet_4_5_20250929,s41467-025-56814-w,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56814-w.dot,b808d72ebe39d3bd9bac517cf9ec7309e28cb4388e85767b5c4c3bd22d4feaf4,10213,43,42,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56815-9,claude_sonnet_4_5_20250929,s41467-025-56815-9,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56815-9.dot,bb2bc96c8df8237caaf94c035fdbfcdd39907556e1c47a396b48a3bd00c4637a,5921,18,21,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56819-5,claude_sonnet_4_5_20250929,s41467-025-56819-5,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56819-5.dot,4935c0ad5df7af41e679ab9091dbf25ee74ee584bc91636a9cb8ecaa589ed5ff,8652,29,29,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56821-x,claude_sonnet_4_5_20250929,s41467-025-56821-x,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56821-x.dot,aa5a486af556c02b190c7d2fe6ab7ac4f1eb142c553f125640ff510ddd1c1acc,10313,39,38,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56822-w,claude_sonnet_4_5_20250929,s41467-025-56822-w,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56822-w.dot,ab3737cb756ba4e6773fc472f0c3f8fa4adbac39f5b91dda85e329b2b1b3bfb6,8892,36,35,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56842-6,claude_sonnet_4_5_20250929,s41467-025-56842-6,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56842-6.dot,29604d758c20b2cb8f0faa85d00616e4544a8cce2c5900c2b9e69ab584b91854,3441,17,16,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56846-2,claude_sonnet_4_5_20250929,s41467-025-56846-2,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56846-2.dot,7d20a728be75d9e7058ca1c0656d5385614c31a337abd327c3670697f390b718,8645,37,43,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56850-6,claude_sonnet_4_5_20250929,s41467-025-56850-6,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56850-6.dot,e7cca07644c062bf634bccf7ee9d510f9242776152ab0e535c50330f7ea03ced,4794,23,25,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56852-4,claude_sonnet_4_5_20250929,s41467-025-56852-4,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56852-4.dot,825f8e7b18fe15335049b708bebd6cbb95f088bba3e169197bf6b107c36f8f14,5724,21,23,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56853-3,claude_sonnet_4_5_20250929,s41467-025-56853-3,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56853-3.dot,1deb930ecb9ba35b3556aeabf79afd6cd88e69a5facf6fe03a31285637503a40,5336,23,22,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56856-0,claude_sonnet_4_5_20250929,s41467-025-56856-0,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56856-0.dot,02ac3fbad6abc2e68ea99c7f9fe7918498a7dceec1b84e2a6946a584c8f5c61a,6623,24,23,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56857-z,claude_sonnet_4_5_20250929,s41467-025-56857-z,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56857-z.dot,98a8ec601c798926d432a9a9b64f3e84fae28e45288681e9f7c75051357c8dc5,4601,23,24,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56858-y,claude_sonnet_4_5_20250929,s41467-025-56858-y,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56858-y.dot,31fcb0afef01cd5123a5ec24be77e5f2db7e8724c8e97e6abf4b9a265d2904f0,3314,14,13,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56871-1,claude_sonnet_4_5_20250929,s41467-025-56871-1,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56871-1.dot,b9bab4f6d2a415e2090ac5b3cd2e11d9abec377d8de6c98973d22c7048ee0511,5899,22,21,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56873-z,claude_sonnet_4_5_20250929,s41467-025-56873-z,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56873-z.dot,ef80d05ac13008c368bc1580c0eaa39c207135b55c64e35c163acb25b66a08c3,4776,19,19,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56877-9,claude_sonnet_4_5_20250929,s41467-025-56877-9,current_version,1.0,1.0,direct,dot/claude_sonnet_4_5_20250929/s41467-025-56877-9.dot,9704766088b669494c32ec2de79589b116d6501142c400b7add1c9c4ebccfeff,3200,11,10,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56880-0,claude_sonnet_4_5_20250929,s41467-025-56880-0,current_version,1.0,1.0,direct,dot/claude_sonnet_4_5_20250929/s41467-025-56880-0.dot,09d5dbb36c50dbd6cf4419a71e3abbd84ee80f994ad20f68ab0edfc2d00acb81,2401,13,12,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56882-y,claude_sonnet_4_5_20250929,s41467-025-56882-y,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56882-y.dot,d5ede5779745148a89e5a80fb1b3ce8fb1a385066b5fedbc13457bcddd5b344a,4028,17,16,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56887-7,claude_sonnet_4_5_20250929,s41467-025-56887-7,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56887-7.dot,57a3888dc4cab1bb6d52eeb49d44f0972de5fd4cd4f6d76fc1ecd1f9e8c50804,9064,40,39,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56897-5,claude_sonnet_4_5_20250929,s41467-025-56897-5,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56897-5.dot,fba45b1737f3cc0c96e9c3df64188844a484d0d59590ef709cc1973fc4606b7d,4022,21,20,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56902-x,claude_sonnet_4_5_20250929,s41467-025-56902-x,current_version,1.0,1.0,direct,dot/claude_sonnet_4_5_20250929/s41467-025-56902-x.dot,6b0a7bdebd543843752cc149075b51be7c9402020b86d8f22a3ba0a3eb44165d,2811,11,10,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56912-9,claude_sonnet_4_5_20250929,s41467-025-56912-9,current_version,1.0,1.0,direct,dot/claude_sonnet_4_5_20250929/s41467-025-56912-9.dot,7042e0db8865abea8d16108edb663993da9f8e143db6ffb4e5d9c7b356c09fc0,2535,14,13,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56921-8,claude_sonnet_4_5_20250929,s41467-025-56921-8,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56921-8.dot,9f2a21036ec26aae9cb9376dbb8d93b0519c5ad0dae027115c324ccca6e0c90f,4287,14,13,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56941-4,claude_sonnet_4_5_20250929,s41467-025-56941-4,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56941-4.dot,756c41855e6e45758be7f77eb1cdd0d6c7f0dbc09b4353dc80681947d4c27710,6175,23,30,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56945-0,claude_sonnet_4_5_20250929,s41467-025-56945-0,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56945-0.dot,c4de497268c3aada8ebd826927f28e7ddf66f1ff9f5c35d6b7c9757ab49dfbd3,3265,17,16,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-56992-7,claude_sonnet_4_5_20250929,s41467-025-56992-7,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-56992-7.dot,df01cc4aa5c1e41625f52fe44a7d00025256863f0dcea5ad050b9b665c9ccaa8,4997,21,23,NROOT,true,true
claude_sonnet_4_5_20250929:s41467-025-57012-4,claude_sonnet_4_5_20250929,s41467-025-57012-4,current_version,1.0,1.0,materialized_curated_relocation,dot/claude_sonnet_4_5_20250929/s41467-025-57012-4.dot,120331e13aa03ec7518af672312f6e5f4167ff0a66d211aae0adeba76d1edb90,4349,14,13,NROOT,true,true
gemini_3_1_pro_preview:s41467-025-55907-w,gemini_3_1_pro_preview,s41467-025-55907-w,current_version,1.0,1.0,materialized_curated_relocation,dot/gemini_3_1_pro_preview/s41467-025-55907-w.dot,0e710882e43514c8543caa31987a581a85d3ef129676fcf41f59a64150f66e99,14394,39,38,NROOT,true,true
gemini_3_1_pro_preview:s41467-025-55999-4,gemini_3_1_pro_preview,s41467-025-55999-4,current_version,1.0,1.0,materialized_curated_relocation,dot/gemini_3_1_pro_preview/s41467-025-55999-4.dot,b838c6c5e210a7c2993a6531def732b8d36acee4e97df032bab34e6af7290e3f,1968,7,7,NROOT,true,true
gemini_3_1_pro_preview:s41467-025-56034-2,gemini_3_1_pro_preview,s41467-025-56034-2,current_version,1.0,1.0,direct,dot/gemini_3_1_pro_preview/s41467-025-56034-2.dot,0cef47fd062f37c01e125c552504c9999f3c7d5a0cb91929d3dd7dcc753a3b9d,9547,35,38,NROOT,true,true
gemini_3_1_pro_preview:s41467-025-56075-7,gemini_3_1_pro_preview,s41467-025-56075-7,current_version,1.0,1.0,direct,dot/gemini_3_1_pro_preview/s41467-025-56075-7.dot,31424f59128a1a8c8e333446b99a1a3e29f1664f4fafb6dbdffffa3d00fbc33e,3415,17,17,NROOT,true,true
gemini_3_1_pro_preview:s41467-025-56106-3,gemini_3_1_pro_preview,s41467-025-56106-3,current_version,1.0,1.0,materialized_curated_relocation,dot/gemini_3_1_pro_preview/s41467-025-56106-3.dot,6631d3ffb88d8cced4ed5ac2dd5a6ffbc015dca6f08d38fb9c1617f5313c7073,3976,12,11,NROOT,true,true
gemini_3_1_pro_preview:s41467-025-56250-w,gemini_3_1_pro_preview,s41467-025-56250-w,current_version,1.0,1.0,materialized_curated_relocation,dot/gemini_3_1_pro_preview/s41467-025-56250-w.dot,5bb2f25aa8b7ee9faf74e33a016576e1355144b2eba8252f9642d6ea2fca77c3,6086,23,22,NROOT,true,true
gemini_3_1_pro_preview:s41467-025-56283-1,gemini_3_1_pro_preview,s41467-025-56283-1,current_version,1.0,1.0,direct,dot/gemini_3_1_pro_preview/s41467-025-56283-1.dot,a7468a98f248244bedb74ecfa265c4f9f649323c35ee69f639efcb9563c89e01,3590,14,13,NROOT,true,true
gemini_3_1_pro_preview:s41467-025-56295-x,gemini_3_1_pro_preview,s41467-025-56295-x,current_version,1.0,1.0,direct,dot/gemini_3_1_pro_preview/s41467-025-56295-x.dot,fa2d761f8b0a3696fb163fdf5c682095dec4a1dca2510de73a6c27731ce8d032,4041,11,10,NROOT,true,true
gemini_3_1_pro_preview:s41467-025-56359-y,gemini_3_1_pro_preview,s41467-025-56359-y,current_version,1.0,1.0,materialized_curated_relocation,dot/gemini_3_1_pro_preview/s41467-025-56359-y.dot,6f8eac6c95df197704a448e2f19dbbbcb2d9adb913b85dd093da321bc8ba2170,3115,9,8,NROOT,true,true
gemini_3_1_pro_preview:s41467-025-56394-9,gemini_3_1_pro_preview,s41467-025-56394-9,current_version,1.0,1.0,materialized_curated_relocation,dot/gemini_3_1_pro_preview/s41467-025-56394-9.dot,d45e341a111f64da03c980ab6056d11c48a8b9c5e3f1331a2f831ef9b101e700,5450,21,20,NROOT,true,true
gemini_3_1_pro_preview:s41467-025-56413-9,gemini_3_1_pro_preview,s41467-025-56413-9,current_version,1.0,1.0,materialized_curated_relocation,dot/gemini_3_1_pro_preview/s41467-025-56413-9.dot,3ecf405b4bd5106788c8ddf674d3e02ee481a933aa8f2170945f480151d6d17d,3546,13,12,NROOT,true,true
gemini_3_1_pro_preview:s41467-025-56522-5,gemini_3_1_pro_preview,s41467-025-56522-5,current_version,1.0,1.0,direct,dot/gemini_3_1_pro_preview/s41467-025-56522-5.dot,2846a265c632e99b3d290c7299ad87ccf639c1ac5daf563b4d03dc7204e22fd0,3569,12,11,NROOT,true,true
