paper_spec,model,candidate_label,source_current_outcome,source_failure_type,source_final_CG,source_final_REA,candidate_CG,candidate_REA,candidate_valid_reasoning_steps,candidate_total_reasoning_steps,candidate_covered_entities,candidate_total_entities,raw_main_factual_ans,step2_main_factual_ans,current_best_main_factual_ans,mergeable,original_version_overwrite_executed,controller_route,controller_status,controller_failure_type,candidate_main_factual_ans,guard_current_best_main_factual_ans,guard_margin,ans_guard_passed,mergeable_with_ans_guard
grok_4_1_thinking:s41467-025-56797-8,grok_4_1_thinking,after327-56797-mechanism-translation-bridge-v1,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,1.0,1.0,1,1,8,8,0.8125,0.68,0.8125,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,preflight:no_anchor_regenerate,0.9736842105263158,0.8125,0.16118421052631582,True,True
grok_4_1_thinking:s41467-025-56814-w,grok_4_1_thinking,grok56814-ansdelta-v3,typed_residual,metric_regression,0.0,1.0,1.0,1.0,4,4,12,12,0.874439461883408,0.8733031674208145,0.874439461883408,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,metric_regression,0.8947368421052632,0.874439461883408,0.02029738022185512,True,True
grok_4_1_thinking:s41467-025-56819-5,grok_4_1_thinking,grok56819-compact-source-seed-v1,typed_residual,final_judge_failed,0.8181818181818182,0.05,1.0,1.0,1,1,11,11,0.921875,0.8923076923076924,0.921875,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,final_judge_failed,0.9761904761904762,0.921875,0.054315476190476164,True,True
grok_4_1_thinking:s41467-025-56873-z,grok_4_1_thinking,grok56873-ansdelta-v15,typed_residual,final_metric_gate_failed,0.7,1.0,1.0,1.0,6,6,10,10,0.7676767676767676,0.6483516483516484,0.7676767676767676,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,final_metric_gate_failed,0.875,0.7676767676767676,0.10732323232323238,True,True
grok_4_1_thinking:s41467-025-56882-y,grok_4_1_thinking,grok56882-compact-source-seed-v1,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,1.0,1.0,1,1,9,9,0.7222222222222222,0.7407407407407407,0.7407407407407407,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,preflight:no_anchor_regenerate,0.9473684210526315,0.7407407407407407,0.20662768031189083,True,True
grok_4_1_thinking:s41467-025-56887-7,grok_4_1_thinking,after327-56887-source31-nadar-hydrolase-bridge-v1,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,1.0,1.0,1,1,9,9,0.8235294117647058,0.8235294117647058,0.8235294117647058,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,preflight:no_anchor_regenerate,0.8863636363636364,0.8235294117647058,0.06283422459893051,True,True
qwen3_5_397b_a17b:s41467-025-56106-3,qwen3_5_397b_a17b,qwen56106-compact-source-seed-v1,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,1.0,1.0,1,1,10,10,0.7703349282296651,0.8285714285714286,0.8285714285714286,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,preflight:no_anchor_regenerate,0.9811320754716981,0.8285714285714286,0.1525606469002695,True,True
qwen3_5_397b_a17b:s41467-025-56635-x,qwen3_5_397b_a17b,qwen56635-step2-ansdelta-v6,typed_residual,metric_regression,0.5555555555555556,1.0,1.0,1.0,7,7,9,9,0.7272727272727273,0.8518518518518519,0.8518518518518519,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,metric_regression,0.9074074074074074,0.8518518518518519,0.05555555555555558,True,True
qwen3_5_397b_a17b:s41467-025-56769-y,qwen3_5_397b_a17b,qwen56769-compact-source-seed-v1,typed_residual,final_metric_gate_failed,0.9,1.0,1.0,1.0,1,1,10,10,0.6492537313432836,0.7185185185185186,0.7352941176470589,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,final_metric_gate_failed,1.0,0.7352941176470589,0.2647058823529411,True,True
qwen3_5_397b_a17b:s41467-025-56795-w,qwen3_5_397b_a17b,qwen56795-compact-source-seed-v1,typed_residual,preflight:no_anchor_regenerate,0.0,0.0,1.0,1.0,1,1,6,6,0.9791666666666666,0.984375,0.984375,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,preflight:no_anchor_regenerate,1.0,0.984375,0.015625,True,True
qwen3_5_397b_a17b:s41467-025-56856-0,qwen3_5_397b_a17b,qwen56856-barcode-ansdelta-v3,typed_residual,final_metric_gate_failed,0.8,1.0,1.0,1.0,13,13,10,10,0.8715083798882681,0.8627450980392157,0.8715083798882681,True,False,strict_candidate_ready_for_review_merge,ready_for_merge_guard,final_metric_gate_failed,0.9310344827586207,0.8715083798882681,0.05952610287035254,True,True
