priority,lane,paper_spec,model,paper,failure_type,current_original_CG,current_original_REA,current_final_CG,current_final_REA,delta_CG,delta_REA,final_covered_entities,final_total_entities,final_missing_entities,has_terminal_graph,has_terminal_eval,preferred_next_candidate_source,next_action,quality_guard,current_best_main_factual_ans
11,anchor_bootstrap_then_semantic_repair,gemini_3_1_pro_preview:s41467-025-56887-7,gemini_3_1_pro_preview,s41467-025-56887-7,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,10,10,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.684)",0.6842105263157895
12,anchor_bootstrap_then_semantic_repair,grok_4_1_thinking:s41467-025-56786-x,grok_4_1_thinking,s41467-025-56786-x,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,7,7,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.750)",0.75
13,anchor_bootstrap_then_semantic_repair,grok_4_1_thinking:s41467-025-56887-7,grok_4_1_thinking,s41467-025-56887-7,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,9,9,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.824)",0.8235294117647058
14,anchor_bootstrap_then_semantic_repair,qwen3_5_397b_a17b:s41467-025-56814-w,qwen3_5_397b_a17b,s41467-025-56814-w,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,12,12,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.914)",0.9142857142857143
15,anchor_bootstrap_then_semantic_repair,claude_sonnet_4_5_20250929:s41467-025-56877-9,claude_sonnet_4_5_20250929,s41467-025-56877-9,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,10,10,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.792)",0.7920792079207921
16,anchor_bootstrap_then_semantic_repair,claude_sonnet_4_5_20250929:s41467-025-56880-0,claude_sonnet_4_5_20250929,s41467-025-56880-0,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,9,9,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.764)",0.7638888888888888
17,anchor_bootstrap_then_semantic_repair,claude_sonnet_4_5_20250929:s41467-025-56902-x,claude_sonnet_4_5_20250929,s41467-025-56902-x,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,10,10,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.909)",0.9090909090909091
18,anchor_bootstrap_then_semantic_repair,gemini_3_1_pro_preview:s41467-025-56295-x,gemini_3_1_pro_preview,s41467-025-56295-x,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,10,10,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (1.000)",1.0
19,anchor_bootstrap_then_semantic_repair,gemini_3_1_pro_preview:s41467-025-56522-5,gemini_3_1_pro_preview,s41467-025-56522-5,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,11,11,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.800)",0.8
20,anchor_bootstrap_then_semantic_repair,gemini_3_1_pro_preview:s41467-025-56618-y,gemini_3_1_pro_preview,s41467-025-56618-y,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,10,10,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (1.000)",1.0
21,anchor_bootstrap_then_semantic_repair,gemini_3_1_pro_preview:s41467-025-56698-w,gemini_3_1_pro_preview,s41467-025-56698-w,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,10,10,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (1.000)",1.0
22,anchor_bootstrap_then_semantic_repair,gemini_3_1_pro_preview:s41467-025-56722-z,gemini_3_1_pro_preview,s41467-025-56722-z,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (1.000)",1.0
23,anchor_bootstrap_then_semantic_repair,gemini_3_1_pro_preview:s41467-025-56724-x,gemini_3_1_pro_preview,s41467-025-56724-x,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,7,7,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.897)",0.896551724137931
24,anchor_bootstrap_then_semantic_repair,gemini_3_1_pro_preview:s41467-025-56850-6,gemini_3_1_pro_preview,s41467-025-56850-6,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,9,9,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.620)",0.6195652173913043
25,anchor_bootstrap_then_semantic_repair,grok_4_1_thinking:s41467-025-56797-8,grok_4_1_thinking,s41467-025-56797-8,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.812)",0.8125
26,anchor_bootstrap_then_semantic_repair,grok_4_1_thinking:s41467-025-56853-3,grok_4_1_thinking,s41467-025-56853-3,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,10,10,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.845)",0.8451612903225807
27,anchor_bootstrap_then_semantic_repair,grok_4_1_thinking:s41467-025-56882-y,grok_4_1_thinking,s41467-025-56882-y,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,9,9,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.741)",0.7407407407407407
28,anchor_bootstrap_then_semantic_repair,qwen3_5_397b_a17b:s41467-025-56106-3,qwen3_5_397b_a17b,s41467-025-56106-3,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,10,10,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.829)",0.8285714285714286
29,anchor_bootstrap_then_semantic_repair,qwen3_5_397b_a17b:s41467-025-56622-2,qwen3_5_397b_a17b,s41467-025-56622-2,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,10,10,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.836)",0.8363636363636363
30,anchor_bootstrap_then_semantic_repair,qwen3_5_397b_a17b:s41467-025-56795-w,qwen3_5_397b_a17b,s41467-025-56795-w,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,6,6,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.984)",0.984375
31,anchor_bootstrap_then_semantic_repair,qwen3_5_397b_a17b:s41467-025-56822-w,qwen3_5_397b_a17b,s41467-025-56822-w,preflight:no_anchor_regenerate,0.0,0.0,0.0,0.0,0.0,0.0,0,10,10,False,True,new_anchor_bootstrap_candidate,"create source-grounded anchor bootstrap candidate, then rerun PEARL repair/accounting","bootstrap must produce at least one majority-correct reasoning anchor, then pass final CG=1.0 and REA=1.0; main-factual ANS should not fall materially below the stronger raw/step2 source signal (0.797)",0.7965367965367965
32,entity_coverage_targeted_repair,grok_4_1_thinking:s41467-025-56616-0,grok_4_1_thinking,s41467-025-56616-0,final_metric_gate_failed,0.7272727272727273,0.23076923076923078,0.9090909090909091,1.0,0.18181818181818177,0.7692307692307692,10,11,1,True,True,existing_terminal_graph,"run coverage-diff audit, add bounded support for uncovered anchor entities, then fresh strict evaluation",preserve REA=1.0 and current accepted reasoning; only add source-grounded support for uncovered core entities; main-factual ANS should remain near or above current PEARL terminal signal (0.787),0.8816568047337278
33,entity_coverage_targeted_repair,gemini_3_1_pro_preview:s41467-025-56912-9,gemini_3_1_pro_preview,s41467-025-56912-9,final_metric_gate_failed,0.6,0.6,0.9,1.0,0.30000000000000004,0.4,9,10,1,True,True,existing_terminal_graph,"run coverage-diff audit, add bounded support for uncovered anchor entities, then fresh strict evaluation",preserve REA=1.0 and current accepted reasoning; only add source-grounded support for uncovered core entities; main-factual ANS should remain near or above current PEARL terminal signal (0.765),0.7647058823529411
34,entity_coverage_targeted_repair,qwen3_5_397b_a17b:s41467-025-56769-y,qwen3_5_397b_a17b,s41467-025-56769-y,final_metric_gate_failed,0.9,0.5384615384615384,0.9,1.0,0.0,0.46153846153846156,9,10,1,True,True,existing_terminal_graph,"run coverage-diff audit, add bounded support for uncovered anchor entities, then fresh strict evaluation",preserve REA=1.0 and current accepted reasoning; only add source-grounded support for uncovered core entities; main-factual ANS should remain near or above current PEARL terminal signal (0.735),0.7352941176470589
35,entity_coverage_targeted_repair,qwen3_5_397b_a17b:s41467-025-56871-1,qwen3_5_397b_a17b,s41467-025-56871-1,final_metric_gate_failed,0.8333333333333335,0.6956521739130435,0.8333333333333335,1.0,0.0,0.30434782608695654,5,6,1,True,True,existing_terminal_graph,"run coverage-diff audit, add bounded support for uncovered anchor entities, then fresh strict evaluation",preserve REA=1.0 and current accepted reasoning; only add source-grounded support for uncovered core entities; main-factual ANS should remain near or above current PEARL terminal signal (0.893),0.8934169278996865
36,entity_coverage_targeted_repair,qwen3_5_397b_a17b:s41467-025-56856-0,qwen3_5_397b_a17b,s41467-025-56856-0,final_metric_gate_failed,0.8,0.3142857142857143,0.8,1.0,0.0,0.6857142857142857,8,10,2,True,True,existing_terminal_graph,"run coverage-diff audit, add bounded support for uncovered anchor entities, then fresh strict evaluation",preserve REA=1.0 and current accepted reasoning; only add source-grounded support for uncovered core entities; main-factual ANS should remain near or above current PEARL terminal signal (0.870),0.8715083798882681
37,entity_coverage_targeted_repair,grok_4_1_thinking:s41467-025-56611-5,grok_4_1_thinking,s41467-025-56611-5,final_metric_gate_failed,0.7857142857142857,0.38095238095238093,0.7857142857142857,1.0,0.0,0.6190476190476191,11,14,3,True,True,existing_terminal_graph,"run coverage-diff audit, add bounded support for uncovered anchor entities, then fresh strict evaluation",preserve REA=1.0 and current accepted reasoning; only add source-grounded support for uncovered core entities; main-factual ANS should remain near or above current PEARL terminal signal (0.867),0.8795180722891566
38,entity_coverage_targeted_repair,qwen3_5_397b_a17b:s41467-025-56921-8,qwen3_5_397b_a17b,s41467-025-56921-8,final_metric_gate_failed,0.41666666666666674,0.23076923076923078,0.75,1.0,0.33333333333333326,0.7692307692307692,9,12,3,True,True,existing_terminal_graph,"run coverage-diff audit, add bounded support for uncovered anchor entities, then fresh strict evaluation",preserve REA=1.0 and current accepted reasoning; only add source-grounded support for uncovered core entities; main-factual ANS should remain near or above current PEARL terminal signal (0.882),0.8823529411764706
39,entity_coverage_targeted_repair,gpt_5_2:s41467-025-56921-8,gpt_5_2,s41467-025-56921-8,final_metric_gate_failed,0.7272727272727273,0.4666666666666667,0.7272727272727273,1.0,0.0,0.5333333333333333,8,11,3,True,True,existing_terminal_graph,"run coverage-diff audit, add bounded support for uncovered anchor entities, then fresh strict evaluation",preserve REA=1.0 and current accepted reasoning; only add source-grounded support for uncovered core entities; main-factual ANS should remain near or above current PEARL terminal signal (0.795),0.7956204379562044
40,entity_coverage_targeted_repair,gemini_3_1_pro_preview:s41467-025-56657-5,gemini_3_1_pro_preview,s41467-025-56657-5,final_metric_gate_failed,0.0,0.2,0.7272727272727273,1.0,0.7272727272727273,0.8,8,11,3,True,True,existing_terminal_graph,"run coverage-diff audit, add bounded support for uncovered anchor entities, then fresh strict evaluation",preserve REA=1.0 and current accepted reasoning; only add source-grounded support for uncovered core entities; main-factual ANS should remain near or above current PEARL terminal signal (0.844),0.8444444444444444
41,entity_coverage_targeted_repair,gpt_5_2:s41467-025-56992-7,gpt_5_2,s41467-025-56992-7,final_metric_gate_failed,0.6363636363636364,0.45454545454545453,0.7272727272727273,1.0,0.09090909090909094,0.5454545454545454,8,11,3,True,True,existing_terminal_graph,"run coverage-diff audit, add bounded support for uncovered anchor entities, then fresh strict evaluation",preserve REA=1.0 and current accepted reasoning; only add source-grounded support for uncovered core entities; main-factual ANS should remain near or above current PEARL terminal signal (0.712),0.7388535031847133
42,entity_coverage_targeted_repair,gemini_3_1_pro_preview:s41467-025-56921-8,gemini_3_1_pro_preview,s41467-025-56921-8,final_metric_gate_failed,0.6428571428571429,0.4444444444444444,0.7142857142857143,1.0,0.0714285714285714,0.5555555555555556,10,14,4,True,True,existing_terminal_graph,"run coverage-diff audit, add bounded support for uncovered anchor entities, then fresh strict evaluation",preserve REA=1.0 and current accepted reasoning; only add source-grounded support for uncovered core entities; main-factual ANS should remain near or above current PEARL terminal signal (0.774),0.7741935483870968
43,entity_coverage_targeted_repair,grok_4_1_thinking:s41467-025-56873-z,grok_4_1_thinking,s41467-025-56873-z,final_metric_gate_failed,0.0,0.1,0.7,1.0,0.7,0.9,7,10,3,True,True,existing_terminal_graph,"run coverage-diff audit, add bounded support for uncovered anchor entities, then fresh strict evaluation",preserve REA=1.0 and current accepted reasoning; only add source-grounded support for uncovered core entities; main-factual ANS should remain near or above current PEARL terminal signal (0.685),0.7676767676767676
44,entity_coverage_targeted_repair,gemini_3_1_pro_preview:s41467-025-56852-4,gemini_3_1_pro_preview,s41467-025-56852-4,final_metric_gate_failed,0.4666666666666666,0.3,0.5333333333333333,1.0,0.06666666666666671,0.7,8,15,7,True,True,existing_terminal_graph,"run coverage-diff audit, add bounded support for uncovered anchor entities, then fresh strict evaluation",preserve REA=1.0 and current accepted reasoning; only add source-grounded support for uncovered core entities; main-factual ANS should remain near or above current PEARL terminal signal (0.683),0.7916666666666666
45,non_regression_selection_or_merge,gemini_3_1_pro_preview:s41467-025-56667-3,gemini_3_1_pro_preview,s41467-025-56667-3,metric_regression,0.7142857142857143,0.14285714285714285,0.5714285714285714,1.0,-0.1428571428571429,0.8571428571428572,4,7,3,True,True,source_vs_terminal_non_regression_selection,"compare source and terminal graphs, rollback or merge coverage units, then accept only non-regressing strict candidate",candidate must satisfy final CG >= original CG (0.714286) before strict gate; avoid pruning source-supported entity evidence for a cleaner but narrower graph,0.8518518518518519
46,non_regression_selection_or_merge,claude_sonnet_4_5_20250929:s41467-025-56034-2,claude_sonnet_4_5_20250929,s41467-025-56034-2,metric_regression,1.0,0.24,0.8,1.0,-0.19999999999999996,0.76,8,10,2,True,True,source_vs_terminal_non_regression_selection,"compare source and terminal graphs, rollback or merge coverage units, then accept only non-regressing strict candidate",candidate must satisfy final CG >= original CG (1.000000) before strict gate; avoid pruning source-supported entity evidence for a cleaner but narrower graph,0.7864583333333334
47,non_regression_selection_or_merge,qwen3_5_397b_a17b:s41467-025-56635-x,qwen3_5_397b_a17b,s41467-025-56635-x,metric_regression,0.8888888888888888,0.15,0.5555555555555556,1.0,-0.33333333333333326,0.85,5,9,4,True,True,source_vs_terminal_non_regression_selection,"compare source and terminal graphs, rollback or merge coverage units, then accept only non-regressing strict candidate",candidate must satisfy final CG >= original CG (0.888889) before strict gate; avoid pruning source-supported entity evidence for a cleaner but narrower graph,0.8518518518518519
48,non_regression_selection_or_merge,grok_4_1_thinking:s41467-025-56814-w,grok_4_1_thinking,s41467-025-56814-w,metric_regression,0.5833333333333334,0.18181818181818182,0.0,1.0,-0.5833333333333334,0.8181818181818181,0,12,12,True,True,source_vs_terminal_non_regression_selection,"compare source and terminal graphs, rollback or merge coverage units, then accept only non-regressing strict candidate",candidate must satisfy final CG >= original CG (0.583333) before strict gate; avoid pruning source-supported entity evidence for a cleaner but narrower graph,0.874439461883408
49,bounded_final_judge_feedback_repair,qwen3_5_397b_a17b:s41467-025-56283-1,qwen3_5_397b_a17b,s41467-025-56283-1,final_judge_failed,0.8666666666666667,0.13333333333333333,0.8666666666666667,0.13333333333333333,0.0,0.0,13,15,2,False,True,failed_final_judge_candidate,"seed repair with failed final vote payload, bound edits to rejected target/root, then fresh strict evaluation","use the failed vote payload as the repair target; after edit, rerun fresh final judge and strict CG/REA gate; protect the stronger raw/step2 source signal (0.701)",0.7010309278350515
50,bounded_final_judge_feedback_repair,grok_4_1_thinking:s41467-025-56819-5,grok_4_1_thinking,s41467-025-56819-5,final_judge_failed,0.8181818181818182,0.05,0.8181818181818182,0.05,0.0,0.0,9,11,2,False,True,failed_final_judge_candidate,"seed repair with failed final vote payload, bound edits to rejected target/root, then fresh strict evaluation","use the failed vote payload as the repair target; after edit, rerun fresh final judge and strict CG/REA gate; protect the stronger raw/step2 source signal (0.922)",0.921875
